method,feature_type,dataset_size,dbscan_eps,n_clusters_found,noise_count,silhouette_score,davies_bouldin_index,adjusted_rand_index,experiment,latent_dim,best_by_silhouette,best_by_davies_bouldin
KMeans,audio_plus_lyrics_latent,1186,,2,0,0.3023217,1.2702211589098875,-0.0007004802486128,medium_hybrid_audio_plus_lyrics,16,True,False
Agglomerative,audio_plus_lyrics_latent,1186,,2,0,0.2610906,1.3564822029948225,0.0005412965244971,medium_hybrid_audio_plus_lyrics,16,False,False
DBSCAN,audio_plus_lyrics_latent,1186,1.503620684146881,3,54,0.13333955,0.8768980903425353,0.0058517284809698,medium_hybrid_audio_plus_lyrics,16,False,True
