epoch,train_loss,val_loss
1,528.4745109854115,396.6977221679688
2,335.97839095744683,289.44455688476563
3,267.2320270944149,272.2699255371094
4,251.8021342596214,250.00174560546876
5,242.54489131922716,242.20673706054689
6,236.78334673713235,241.3119189453125
7,233.80814366346604,235.10059997558594
8,232.41485450563204,234.55317260742189
9,225.2668508976064,230.47494506835938
10,222.3209544767874,225.1900048828125
11,218.79224763376095,223.62466186523437
12,215.32626048674123,220.9110662841797
13,214.3716993654177,221.79615966796874
14,212.64808641417005,218.90812744140624
15,211.37188911676705,220.96750366210938
16,210.39004566254692,218.0693780517578
17,208.60200311424435,214.93984130859374
18,208.93988487807025,215.21751098632814
19,205.92635936522214,217.09058349609376
20,206.14100541937188,214.45576293945314
